127.0.0.1 - - [21/Apr/2022:22:42:13 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/ HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:20 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:22 -0300] "GET /Biblioteca/resources/visitante/login/login.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:22 -0300] "GET /Biblioteca/resources/visitante/login/sincronizarDados.js HTTP/1.1" 200 9764
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:22 -0300] "GET /Biblioteca/lalala.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:22 -0300] "GET /Biblioteca/resources/visitante/login/images/download.png HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:33 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminsPorNome/null HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:33 -0300] "POST /Biblioteca/rest/bibliotecaRest/logarAdmin/3 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:33 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:42:33 -0300] "GET /Biblioteca/resources/admin/canvasjs.min.js HTTP/1.1" 404 1078
