127.0.0.1 - - [02/May/2022:01:26:34 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/ HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/phantom/light/css/owl.carousel.min.css HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:35 -0300] "GET /Biblioteca/phantom/light/css/themefisher-fonts.min.css HTTP/1.1" 200 46637
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/css/dark.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/css/colors/red.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/css/main.css HTTP/1.1" 200 35790
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/js/vendor/jquery-2.2.4.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/js/vendor/bootstrap.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/isotope.pkgd.min.js HTTP/1.1" 200 34706
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/owl.carousel.min.js HTTP/1.1" 200 40402
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/jquery.nicescroll.min.js HTTP/1.1" 200 61259
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/jquery-validation.min.js HTTP/1.1" 200 21073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/main.js HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/js/form.min.js HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:36 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:46 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:46 -0300] "GET /Biblioteca/index.html HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/navbar/css/navbar.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/index.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/login/css/login.css HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/themefisher-fonts.min.css HTTP/1.1" 200 46637
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/owl.carousel.min.css HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/main.css HTTP/1.1" 200 35790
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/dark.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/css/colors/red.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/index.js HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/js/vendor/jquery-2.2.4.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/js/vendor/bootstrap.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/jquery.nicescroll.min.js HTTP/1.1" 200 61259
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/isotope.pkgd.min.js HTTP/1.1" 200 34706
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/owl.carousel.min.js HTTP/1.1" 200 40402
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/jquery-validation.min.js HTTP/1.1" 200 21073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/main.js HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/js/form.min.js HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/login/login.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [02/May/2022:01:26:47 -0300] "GET /Biblioteca/resources/visitante/login/sincronizarDados.js HTTP/1.1" 200 8222
